model,method_type,n_train,n_test,MAE,RMSE,R2_holdout,Bias,selection_role
Lasso,sparse regularized linear model,83,36,0.04579071525796341,0.05578688536341426,0.4668368478106698,-0.019383170022752114,Close linear challenger
Ridge,regularized linear model,83,36,0.04605134662364937,0.0560623640267167,0.46155826987745097,-0.01994027073276583,Close linear challenger
Elastic Net,mixed regularized linear model,83,36,0.04621172596933529,0.056139117634499615,0.4600829259024588,-0.01973372213946678,Close linear challenger
OLS,linear benchmark,83,36,0.046362573061899455,0.05626015814623398,0.4577522055903377,-0.019839816309256575,Selected primary model
Gradient Boosting,boosted tree ensemble,83,36,0.06523506809972698,0.08513740255811657,-0.24175720741793016,-0.042511737449677595,Rejected: higher error
SVR,kernel method,83,36,0.07507248632610747,0.08600512954249774,-0.26719837000433144,-0.05811181633596347,Rejected: higher error
Random Forest,bagged tree ensemble,83,36,0.07838922526650263,0.09278167557153646,-0.47475650189867147,-0.06111709671110748,Rejected: higher error
XGBoost,boosted tree ensemble,83,36,0.08532613325119019,0.10017817932110758,-0.7192624015180451,-0.07761861631605362,Rejected: higher error
Decision Tree,simple non-linear tree,83,36,0.10925333781362015,0.1239353646181872,-1.63139711716489,-0.09594917114695352,Rejected: higher error
